reference_number,origin,destination,equipment_type,rate,commodity
1234567,New York,Los Angeles,Dry Van,1500,Electronics
6789012,Chicago,Houston,Flatbed,1200,Machinery
5432123,Miami,Seattle,Reefer,2000,Perishables
9876543,Denver,Atlanta,Dry Van,1800,Furniture
4567890,Dallas,Portland,Flatbed,1600,Construction Materials
1122345,Boston,San Francisco,Dry Van,1700,Apparel
3345678,Atlanta,Las Vegas,Flatbed,1400,Automotive Parts
5567891,Seattle,Chicago,Reefer,1900,Food Products
7789012,Houston,New York,Dry Van,2100,Pharmaceuticals
9901234,Los Angeles,Dallas,Flatbed,1300,Industrial Equipment
2234567,Phoenix,Denver,Dry Van,1450,Retail Goods
4456789,Minneapolis,Orlando,Reefer,1750,Perishables
6678901,San Diego,Atlanta,Dry Van,1650,Electronics
8891234,Kansas City,Seattle,Flatbed,1550,Machinery
1012345,Portland,Miami,Reefer,1850,Food Products
1212345,Las Vegas,Chicago,Dry Van,1950,Apparel
1412345,Philadelphia,Houston,Flatbed,1250,Automotive Parts
1612345,San Antonio,New York,Dry Van,2200,Pharmaceuticals
1812345,Orlando,Los Angeles,Reefer,2050,Perishables
2021234,Detroit,Dallas,Flatbed,1350,Industrial Equipment
